l1,l2,dictionary
eng,afr,freedict
eng,ara,freedict
eng,ces,freedict
eng,cym,freedict
eng,dan,freedict
eng,deu,freedict
eng,epo,freedict
eng,fin,freedict
eng,fra,freedict
eng,gle,freedict
eng,hrv,freedict
eng,hun,freedict
eng,isl,freedict
eng,ita,freedict
eng,kur,freedict
eng,lat,freedict
eng,lit,freedict
eng,nld,freedict
eng,pol,freedict
eng,por,freedict
eng,slk,freedict
eng,spa,freedict
eng,srp,freedict
eng,swa,freedict
eng,swe,freedict
eng,tur,freedict
afr,eng,freedict
ara,eng,freedict
ell,eng,freedict
fin,eng,freedict
fra,eng,freedict
gle,eng,freedict
hin,eng,freedict
hrv,eng,freedict
hun,eng,freedict
ita,eng,freedict
jpn,eng,freedict
lat,eng,freedict
nld,eng,freedict
pol,eng,freedict
por,eng,freedict
ron,eng,freedict
rus,eng,freedict
spa,eng,freedict
srp,eng,freedict
swa,eng,freedict
swe,eng,freedict
tur,eng,freedict
zho,eng,ecdict